ID,u1,u2,u3,u4,u5,u6
94,-0.35,0.0,-0.25,0.0,0.0,0.0
95,-0.35,0.0,-0.25,0.0,0.0,0.25
96,-0.35,0.0,-0.25,0.0,0.3,-0.25
97,-0.35,0.0,-0.25,0.0,0.3,0.0
98,-0.35,0.0,-0.25,0.0,0.3,0.25
99,-0.35,0.0,-0.25,0.35,-0.3,-0.25
100,-0.35,0.0,-0.25,0.35,-0.3,0.0
101,-0.35,0.0,-0.25,0.35,-0.3,0.25
102,-0.35,0.0,-0.25,0.35,0.0,-0.25
103,-0.35,0.0,-0.25,0.35,0.0,0.0
104,-0.35,0.0,-0.25,0.35,0.0,0.25
105,-0.35,0.0,-0.25,0.35,0.3,-0.25
106,-0.35,0.0,-0.25,0.35,0.3,0.0
107,-0.35,0.0,-0.25,0.35,0.3,0.25
108,-0.35,0.0,0.0,-0.35,-0.3,-0.25
109,-0.35,0.0,0.0,-0.35,-0.3,0.0
110,-0.35,0.0,0.0,-0.35,-0.3,0.25
111,-0.35,0.0,0.0,-0.35,0.0,-0.25
112,-0.35,0.0,0.0,-0.35,0.0,0.0
113,-0.35,0.0,0.0,-0.35,0.0,0.25
114,-0.35,0.0,0.0,-0.35,0.3,-0.25
115,-0.35,0.0,0.0,-0.35,0.3,0.0
116,-0.35,0.0,0.0,-0.35,0.3,0.25
117,-0.35,0.0,0.0,0.0,-0.3,-0.25
118,-0.35,0.0,0.0,0.0,-0.3,0.0
119,-0.35,0.0,0.0,0.0,-0.3,0.25
120,-0.35,0.0,0.0,0.0,0.0,-0.25
121,-0.35,0.0,0.0,0.0,0.0,0.0
122,-0.35,0.0,0.0,0.0,0.0,0.25
123,-0.35,0.0,0.0,0.0,0.3,-0.25
124,-0.35,0.0,0.0,0.0,0.3,0.0
125,-0.35,0.0,0.0,0.0,0.3,0.25
126,-0.35,0.0,0.0,0.35,-0.3,-0.25
127,-0.35,0.0,0.0,0.35,-0.3,0.0
128,-0.35,0.0,0.0,0.35,-0.3,0.25
129,-0.35,0.0,0.0,0.35,0.0,-0.25
130,-0.35,0.0,0.0,0.35,0.0,0.0
131,-0.35,0.0,0.0,0.35,0.0,0.25
132,-0.35,0.0,0.0,0.35,0.3,-0.25
133,-0.35,0.0,0.0,0.35,0.3,0.0
134,-0.35,0.0,0.0,0.35,0.3,0.25
135,-0.35,0.0,0.25,-0.35,-0.3,-0.25
136,-0.35,0.0,0.25,-0.35,-0.3,0.0
137,-0.35,0.0,0.25,-0.35,-0.3,0.25
138,-0.35,0.0,0.25,-0.35,0.0,-0.25
139,-0.35,0.0,0.25,-0.35,0.0,0.0
140,-0.35,0.0,0.25,-0.35,0.0,0.25
141,-0.35,0.0,0.25,-0.35,0.3,-0.25
142,-0.35,0.0,0.25,-0.35,0.3,0.0
143,-0.35,0.0,0.25,-0.35,0.3,0.25
144,-0.35,0.0,0.25,0.0,-0.3,-0.25
145,-0.35,0.0,0.25,0.0,-0.3,0.0
146,-0.35,0.0,0.25,0.0,-0.3,0.25
147,-0.35,0.0,0.25,0.0,0.0,-0.25
148,-0.35,0.0,0.25,0.0,0.0,0.0
149,-0.35,0.0,0.25,0.0,0.0,0.25
150,-0.35,0.0,0.25,0.0,0.3,-0.25
151,-0.35,0.0,0.25,0.0,0.3,0.0
152,-0.35,0.0,0.25,0.0,0.3,0.25
153,-0.35,0.0,0.25,0.35,-0.3,-0.25
154,-0.35,0.0,0.25,0.35,-0.3,0.0
155,-0.35,0.0,0.25,0.35,-0.3,0.25
156,-0.35,0.0,0.25,0.35,0.0,-0.25
157,-0.35,0.0,0.25,0.35,0.0,0.0
158,-0.35,0.0,0.25,0.35,0.0,0.25
159,-0.35,0.0,0.25,0.35,0.3,-0.25
160,-0.35,0.0,0.25,0.35,0.3,0.0
161,-0.35,0.0,0.25,0.35,0.3,0.25
162,-0.35,0.3,-0.25,-0.35,-0.3,-0.25
163,-0.35,0.3,-0.25,-0.35,-0.3,0.0
164,-0.35,0.3,-0.25,-0.35,-0.3,0.25
165,-0.35,0.3,-0.25,-0.35,0.0,-0.25
166,-0.35,0.3,-0.25,-0.35,0.0,0.0
167,-0.35,0.3,-0.25,-0.35,0.0,0.25
168,-0.35,0.3,-0.25,-0.35,0.3,-0.25
169,-0.35,0.3,-0.25,-0.35,0.3,0.0
170,-0.35,0.3,-0.25,-0.35,0.3,0.25
171,-0.35,0.3,-0.25,0.0,-0.3,-0.25
172,-0.35,0.3,-0.25,0.0,-0.3,0.0
173,-0.35,0.3,-0.25,0.0,-0.3,0.25
174,-0.35,0.3,-0.25,0.0,0.0,-0.25
175,-0.35,0.3,-0.25,0.0,0.0,0.0
176,-0.35,0.3,-0.25,0.0,0.0,0.25
177,-0.35,0.3,-0.25,0.0,0.3,-0.25
178,-0.35,0.3,-0.25,0.0,0.3,0.0
179,-0.35,0.3,-0.25,0.0,0.3,0.25
180,-0.35,0.3,-0.25,0.35,-0.3,-0.25
181,-0.35,0.3,-0.25,0.35,-0.3,0.0
182,-0.35,0.3,-0.25,0.35,-0.3,0.25
